date,Gender,n_unique_members,freq_unique
2012-01-01,f,57,0.23076923076923078
2012-01-01,m,190,0.7692307692307693
2012-02-01,f,58,0.23387096774193547
2012-02-01,m,190,0.7661290322580645
2012-03-01,f,60,0.23529411764705882
2012-03-01,m,195,0.7647058823529411
2012-04-01,f,61,0.24015748031496062
2012-04-01,m,193,0.7598425196850394
2012-05-01,f,61,0.23921568627450981
2012-05-01,m,194,0.7607843137254902
2012-06-01,f,61,0.23921568627450981
2012-06-01,m,194,0.7607843137254902
2012-07-01,f,61,0.23921568627450981
2012-07-01,m,194,0.7607843137254902
2012-08-01,f,61,0.2364341085271318
2012-08-01,m,197,0.7635658914728682
2012-09-01,f,63,0.24045801526717558
2012-09-01,m,199,0.7595419847328244
2012-10-01,f,65,0.24436090225563908
2012-10-01,m,201,0.7556390977443609
2012-11-01,f,69,0.24731182795698925
2012-11-01,m,210,0.7526881720430108
2012-12-01,f,74,0.25
2012-12-01,m,222,0.75
2013-01-01,f,75,0.24834437086092714
2013-01-01,m,227,0.7516556291390728
2013-02-01,f,75,0.24834437086092714
2013-02-01,m,227,0.7516556291390728
2013-03-01,f,76,0.24836601307189543
2013-03-01,m,230,0.7516339869281046
2013-04-01,f,80,0.25316455696202533
2013-04-01,m,236,0.7468354430379747
2013-05-01,f,81,0.253125
2013-05-01,m,239,0.746875
2013-06-01,f,81,0.25077399380804954
2013-06-01,m,242,0.7492260061919505
2013-07-01,f,81,0.25077399380804954
2013-07-01,m,242,0.7492260061919505
2013-08-01,f,82,0.2469879518072289
2013-08-01,m,250,0.7530120481927711
2013-09-01,f,87,0.24857142857142858
2013-09-01,m,263,0.7514285714285714
2013-10-01,f,89,0.2507042253521127
2013-10-01,m,266,0.7492957746478873
2013-11-01,f,89,0.24929971988795518
2013-11-01,m,268,0.7507002801120448
2013-12-01,f,91,0.25
2013-12-01,m,273,0.75
2014-01-01,f,94,0.24867724867724866
2014-01-01,m,284,0.7513227513227513
2014-02-01,f,97,0.2519480519480519
2014-02-01,m,288,0.7480519480519481
2014-03-01,f,97,0.2519480519480519
2014-03-01,m,288,0.7480519480519481
2014-04-01,f,97,0.2526041666666667
2014-04-01,m,287,0.7473958333333334
2014-05-01,f,97,0.2526041666666667
2014-05-01,m,287,0.7473958333333334
2014-06-01,f,97,0.25129533678756477
2014-06-01,m,289,0.7487046632124352
2014-07-01,f,98,0.2532299741602067
2014-07-01,m,289,0.7467700258397932
2014-08-01,f,99,0.2512690355329949
2014-08-01,m,295,0.748730964467005
2014-09-01,f,99,0.25063291139240507
2014-09-01,m,296,0.7493670886075949
2014-10-01,f,101,0.25569620253164554
2014-10-01,m,294,0.7443037974683544
2014-11-01,f,115,0.2619589977220957
2014-11-01,m,324,0.7380410022779044
2014-12-01,f,116,0.26244343891402716
2014-12-01,m,326,0.7375565610859729
2015-01-01,f,117,0.26
2015-01-01,m,333,0.74
2015-02-01,f,118,0.26048565121412803
2015-02-01,m,335,0.739514348785872
2015-03-01,f,120,0.2591792656587473
2015-03-01,m,343,0.7408207343412527
2015-04-01,f,121,0.26021505376344084
2015-04-01,m,344,0.7397849462365591
2015-05-01,f,122,0.25792811839323465
2015-05-01,m,351,0.7420718816067653
2015-06-01,f,124,0.26105263157894737
2015-06-01,m,351,0.7389473684210527
2015-07-01,f,124,0.2605042016806723
2015-07-01,m,352,0.7394957983193278
2015-08-01,f,126,0.2630480167014614
2015-08-01,m,353,0.7369519832985386
2015-09-01,f,127,0.26458333333333334
2015-09-01,m,353,0.7354166666666667
2015-10-01,f,131,0.2651821862348178
2015-10-01,m,363,0.7348178137651822
2015-11-01,f,133,0.2665330661322645
2015-11-01,m,366,0.7334669338677354
2015-12-01,f,134,0.26534653465346536
2015-12-01,m,371,0.7346534653465346
2016-01-01,f,136,0.26614481409001955
2016-01-01,m,375,0.7338551859099804
2016-02-01,f,142,0.26996197718631176
2016-02-01,m,384,0.7300380228136882
2016-03-01,f,142,0.2669172932330827
2016-03-01,m,390,0.7330827067669173
2016-04-01,f,144,0.2656826568265683
2016-04-01,m,398,0.7343173431734318
2016-05-01,f,147,0.26824817518248173
2016-05-01,m,401,0.7317518248175182
2016-06-01,f,152,0.2695035460992908
2016-06-01,m,412,0.7304964539007093
2016-07-01,f,155,0.270979020979021
2016-07-01,m,417,0.7290209790209791
2016-08-01,f,157,0.2711571675302245
2016-08-01,m,422,0.7288428324697754
2016-09-01,f,158,0.27241379310344827
2016-09-01,m,422,0.7275862068965517
2016-10-01,f,160,0.27538726333907054
2016-10-01,m,421,0.7246127366609294
2016-11-01,f,160,0.27538726333907054
2016-11-01,m,421,0.7246127366609294
2016-12-01,f,164,0.27938671209540034
2016-12-01,m,423,0.7206132879045997
2017-01-01,f,174,0.2766295707472178
2017-01-01,m,455,0.7233704292527822
2017-02-01,f,179,0.278816199376947
2017-02-01,m,463,0.721183800623053
2017-03-01,f,179,0.27838258164852253
2017-03-01,m,464,0.7216174183514774
2017-04-01,f,180,0.2786377708978328
2017-04-01,m,466,0.7213622291021672
2017-05-01,f,183,0.28067484662576686
2017-05-01,m,469,0.7193251533742331
2017-06-01,f,183,0.28067484662576686
2017-06-01,m,469,0.7193251533742331
2017-07-01,f,187,0.28290468986384265
2017-07-01,m,474,0.7170953101361573
2017-08-01,f,189,0.2791728212703102
2017-08-01,m,488,0.7208271787296898
2017-09-01,f,194,0.2840409956076135
2017-09-01,m,489,0.7159590043923866
2017-10-01,f,194,0.2823871906841339
2017-10-01,m,493,0.7176128093158661
2017-11-01,f,202,0.28815977175463625
2017-11-01,m,499,0.7118402282453637
2017-12-01,f,204,0.2901849217638691
2017-12-01,m,499,0.7098150782361309
2018-01-01,f,193,0.2859259259259259
2018-01-01,m,482,0.7140740740740741
2018-02-01,f,196,0.28865979381443296
2018-02-01,m,483,0.711340206185567
2018-03-01,f,198,0.2916053019145803
2018-03-01,m,481,0.7083946980854198
2018-04-01,f,199,0.29008746355685133
2018-04-01,m,487,0.7099125364431487
2018-05-01,f,206,0.28892005610098176
2018-05-01,m,507,0.7110799438990182
2018-06-01,f,210,0.2912621359223301
2018-06-01,m,511,0.7087378640776699
2018-07-01,f,207,0.28910614525139666
2018-07-01,m,509,0.7108938547486033
2018-08-01,f,205,0.2867132867132867
2018-08-01,m,510,0.7132867132867133
2018-09-01,f,205,0.28792134831460675
2018-09-01,m,507,0.7120786516853933
2018-10-01,f,220,0.2921646746347942
2018-10-01,m,533,0.7078353253652059
2018-11-01,f,239,0.2954264524103832
2018-11-01,m,570,0.7045735475896168
2018-12-01,f,237,0.29662077596996245
2018-12-01,m,562,0.7033792240300375
2019-01-01,f,238,0.3086900129701686
2019-01-01,m,533,0.6913099870298314
2019-02-01,f,260,0.3106332138590203
2019-02-01,m,577,0.6893667861409797
2019-03-01,f,261,0.31145584725536996
2019-03-01,m,577,0.6885441527446301
2019-04-01,f,264,0.3087719298245614
2019-04-01,m,591,0.6912280701754386
2019-05-01,f,264,0.308411214953271
2019-05-01,m,592,0.6915887850467289
2019-06-01,f,264,0.3091334894613583
2019-06-01,m,590,0.6908665105386417
2019-07-01,f,263,0.31014150943396224
2019-07-01,m,585,0.6898584905660378
2019-08-01,f,268,0.3123543123543124
2019-08-01,m,590,0.6876456876456877
2019-09-01,f,268,0.3134502923976608
2019-09-01,m,587,0.6865497076023391
2019-10-01,f,272,0.3137254901960784
2019-10-01,m,595,0.6862745098039216
2019-11-01,f,277,0.31228861330326946
2019-11-01,m,610,0.6877113866967306
2019-12-01,f,277,0.31228861330326946
2019-12-01,m,610,0.6877113866967306
2020-01-01,f,266,0.3103850641773629
2020-01-01,m,591,0.6896149358226371
2020-02-01,f,256,0.3137254901960784
2020-02-01,m,560,0.6862745098039216
2020-03-01,f,257,0.31456548347613217
2020-03-01,m,560,0.6854345165238678
2020-04-01,f,265,0.32004830917874394
2020-04-01,m,563,0.6799516908212561
2020-05-01,f,266,0.3208685162846803
2020-05-01,m,563,0.6791314837153196
2020-06-01,f,268,0.3232810615199035
2020-06-01,m,561,0.6767189384800965
2020-07-01,f,276,0.3281807372175981
2020-07-01,m,565,0.6718192627824019
2020-08-01,f,279,0.32823529411764707
2020-08-01,m,571,0.6717647058823529
2020-09-01,f,273,0.328125
2020-09-01,m,559,0.671875
2020-10-01,f,272,0.3269230769230769
2020-10-01,m,560,0.6730769230769231
2020-11-01,f,282,0.32867132867132864
2020-11-01,m,576,0.6713286713286714
2020-12-01,f,286,0.3291139240506329
2020-12-01,m,583,0.6708860759493671
2021-01-01,f,293,0.33295454545454545
2021-01-01,m,587,0.6670454545454545
2021-02-01,f,293,0.3318233295583239
2021-02-01,m,590,0.6681766704416761
2021-03-01,f,350,0.35035035035035034
2021-03-01,m,649,0.6496496496496497
2021-04-01,f,349,0.349
2021-04-01,m,651,0.651
2021-05-01,f,342,0.3465045592705167
2021-05-01,m,645,0.6534954407294833
2021-06-01,f,348,0.3483483483483483
2021-06-01,m,651,0.6516516516516516
2021-07-01,f,354,0.35258964143426297
2021-07-01,m,650,0.647410358565737
2021-08-01,f,373,0.36143410852713176
2021-08-01,m,659,0.6385658914728682
2021-09-01,f,382,0.36346336822074216
