EvaluationBodyId_anon,PersonId_anon,Country,Country_De,Country_Fr
50a48a5c-aec9-4cd2-89f8-d27c29300902,91efa815-041a-4adb-9079-ff91103d88aa,Switzerland,Schweiz,Suisse
55e24273-e4b9-48c2-8174-47f7222aff5e,91efa815-041a-4adb-9079-ff91103d88aa,Switzerland,Schweiz,Suisse
c603d4f1-f880-49f9-a55b-74cc4ca692d7,660cd2eb-9342-4ec1-a2a4-40ed4378b7ed,Germany,Deutschland,Allemagne
55e24273-e4b9-48c2-8174-47f7222aff5e,82b3e02b-e068-436b-9dce-a55e8726053f,Switzerland,Schweiz,Suisse
63f20211-c9b9-41c7-9493-d0c6087cf70e,219d8230-3f35-444f-8d8d-ee4c10fabf7b,Ireland,Irland,Irlande
a116c543-3fe9-4b2b-974e-6a663b897123,9485aa5f-5547-48a0-897a-fa59be269fd5,Germany,Deutschland,Allemagne
6976376e-9575-4972-916c-c70a6e3e3e53,660cd2eb-9342-4ec1-a2a4-40ed4378b7ed,Germany,Deutschland,Allemagne
69bbaef9-c25c-4b7f-95c0-7b888f36ac55,977a11f6-47e6-4f62-bc67-c5f72f695045,Switzerland,Schweiz,Suisse
de05db62-b39a-4726-b561-d8716c6a1671,a18113db-2826-4dea-b96d-3fb73d2e2793,Germany,Deutschland,Allemagne
129d4134-597f-4cac-b801-83e3eade11d1,06307f16-f9c6-43b1-8f77-78271653f7f4,Switzerland,Schweiz,Suisse
edfe59a6-76eb-4b38-97f5-6e8f2e53905e,fd5285f5-372d-4ca8-bb82-7f0700fcbbc0,Germany,Deutschland,Allemagne
0c160031-5244-4e31-9fab-93cfba7e1814,ceada974-6a7d-4b38-9930-56009731bb9d,Switzerland,Schweiz,Suisse
374b751b-b68b-4e9b-82af-f33865c324eb,6637234b-1bae-49c3-ba91-a7d4c1c221fa,Switzerland,Schweiz,Suisse
c5c7a54c-0205-4fc9-b0ce-7caabf29cd63,f66039ed-5ee5-43cc-afae-361752912fc7,Austria,Österreich,Autriche
7c1fa027-6f4a-4dff-b8a2-cf04772b2ee6,17b578df-2812-4633-99e3-c9285294d93c,Germany,Deutschland,Allemagne
ef0583b7-66e5-4778-945e-c4ed4661685d,53d8b55c-65f8-4174-8744-408eaa9e4c6a,Switzerland,Schweiz,Suisse
603141ea-50f1-4d93-b939-bc27bd0e846e,53d8b55c-65f8-4174-8744-408eaa9e4c6a,Switzerland,Schweiz,Suisse
d352c2a9-43e5-4a42-8709-916d2bc0446b,baafdb70-d4d4-4e51-b2b7-51e3b995b014,Germany,Deutschland,Allemagne
30baa42f-accb-46da-87c1-48ccf12deb1d,ed7bde27-2e8b-4f45-8ede-f292d8ea2fda,Switzerland,Schweiz,Suisse
50a48a5c-aec9-4cd2-89f8-d27c29300902,ed7bde27-2e8b-4f45-8ede-f292d8ea2fda,Switzerland,Schweiz,Suisse
0173471c-2253-4dc0-9841-b17a8ce494c6,ed7bde27-2e8b-4f45-8ede-f292d8ea2fda,Switzerland,Schweiz,Suisse
17fd0255-f8e5-41e2-8228-570bf97f11c3,9485aa5f-5547-48a0-897a-fa59be269fd5,Germany,Deutschland,Allemagne
